CancelID,RideID,PassengerUserID,DriverUserID,CanceledBy,CancelReason,CancelTime,CancellationFee_BDT
46,313,1249,1303,Passenger,Driver too far,2023-05-03T01:28:11,0
47,315,1116,72,Driver,Driver too far,2023-10-15T22:09:33,0
48,316,1205,1156,Passenger,Changed mind,2023-04-07T07:16:57,0
49,320,862,1094,Accident,Accident,2023-04-16T03:31:34,0
50,321,1133,1359,Passenger,No show,2023-05-13T11:41:35,0
51,324,1431,259,Driver,No show,2023-05-06T17:43:45,0
52,329,1404,277,Passenger,No show,2023-09-25T02:47:10,0
53,330,285,750,Driver,Changed mind,2023-01-29T17:38:30,4.49
54,335,1147,1293,Driver,Changed mind,2023-04-20T18:28:20,0
55,338,620,173,Driver,Vehicle issue,2023-08-31T05:13:35,0
56,345,580,631,Driver,No show,2023-09-09T09:50:44,6.26
57,347,1423,1079,Driver,Vehicle issue,2023-05-22T18:41:49,0
58,353,1104,1156,Passenger,Driver too far,2023-08-13T03:36:14,4.8
59,358,480,1224,Passenger,No show,2023-11-19T08:54:14,0
60,361,793,269,Driver,No show,2023-02-08T21:22:16,0
61,366,575,799,Driver,Changed mind,2023-05-29T03:52:13,0
62,367,1034,845,Driver,No show,2023-04-24T01:19:47,0
63,371,247,845,Passenger,Vehicle issue,2023-04-03T16:03:47,0
64,393,1185,634,Driver,Vehicle issue,2023-09-23T03:20:09,8.72
65,395,1221,1079,Driver,Driver too far,2023-12-13T04:48:34,0
66,396,253,622,Driver,Driver too far,2023-12-29T19:50:19,0
67,418,1335,1124,Passenger,No show,2023-03-22T19:39:28,0
68,419,716,1108,Passenger,Vehicle issue,2023-09-16T09:44:47,0
69,420,865,912,Driver,No show,2023-09-08T02:31:55,0
70,427,310,1211,Passenger,Vehicle issue,2023-02-07T16:45:52,0
71,428,385,1211,Driver,Vehicle issue,2023-12-14T04:35:21,0
72,429,146,1079,Passenger,Vehicle issue,2023-02-22T09:46:49,0
73,434,1418,1108,Driver,Driver too far,2023-12-01T13:35:03,0
74,456,1142,350,Passenger,Vehicle issue,2023-11-17T01:31:30,0
75,463,874,558,Passenger,Driver too far,2023-10-19T14:27:08,0
76,472,1269,976,Driver,Driver too far,2023-11-05T17:58:59,0
77,496,94,957,Driver,Driver too far,2023-03-12T22:41:49,0
78,510,505,1311,Driver,No show,2023-03-16T06:45:01,0
79,513,794,1359,Driver,No show,2023-06-02T02:16:30,0
80,517,23,908,Driver,Vehicle issue,2023-05-12T02:43:53,0
81,528,619,259,Driver,Driver too far,2023-11-30T09:49:08,3.73
82,538,625,912,Driver,Driver too far,2023-01-21T15:07:29,0
83,546,701,712,Driver,Vehicle issue,2023-09-16T05:43:14,0
84,563,884,799,Driver,Changed mind,2023-10-27T08:57:07,0
85,565,85,1224,Driver,Vehicle issue,2023-10-07T06:34:53,0
86,577,1186,533,Driver,Vehicle issue,2023-06-27T19:31:03,0
87,584,88,957,Driver,Driver too far,2023-12-23T20:12:37,0
88,598,1222,622,Driver,Changed mind,2023-12-26T00:20:06,0
89,599,1467,533,Passenger,No show,2023-08-04T02:28:53,0
90,614,286,634,Driver,Driver too far,2023-07-21T03:42:06,0
91,633,1482,634,Passenger,Changed mind,2023-09-19T15:08:55,0
92,638,225,558,Accident,Accident,2023-10-30T09:24:08,0
93,640,1283,470,Driver,Vehicle issue,2023-11-10T23:54:35,0
94,644,118,1156,Driver,Driver too far,2023-12-10T16:13:49,5.79
95,647,613,750,Passenger,Vehicle issue,2023-01-16T16:01:47,0
96,657,602,22,Driver,Changed mind,2023-01-02T04:39:07,0
97,662,117,908,Driver,Vehicle issue,2023-11-20T18:45:34,5.78
98,674,386,582,Driver,Vehicle issue,2023-09-01T23:52:36,8.16
99,676,718,72,Accident,Accident,2023-08-11T07:24:27,0
100,677,1488,634,Accident,Accident,2023-06-06T09:04:25,0
101,679,710,891,Driver,Driver too far,2023-06-23T16:59:24,0
102,680,1207,1429,Passenger,Vehicle issue,2023-06-27T09:00:32,0
103,692,355,1311,Driver,Vehicle issue,2023-03-08T17:50:30,0
104,704,244,622,Passenger,Changed mind,2023-05-07T14:21:29,0
105,716,833,976,Driver,No show,2023-04-06T23:29:04,0
106,719,1102,1359,Passenger,Driver too far,2023-02-20T17:56:01,0
107,731,1227,1106,Driver,Vehicle issue,2023-05-07T20:30:55,0
108,732,807,1,Accident,Accident,2023-11-04T04:26:37,0
109,745,1291,1429,Accident,Accident,2023-03-02T19:29:22,0
110,747,901,582,Passenger,Vehicle issue,2023-05-01T15:01:49,0
111,761,1256,667,Driver,No show,2023-11-04T08:59:21,0
112,770,1408,845,Accident,Accident,2023-08-21T21:31:59,0
113,772,589,845,Driver,Driver too far,2023-04-28T07:40:56,0
114,773,578,1342,Driver,Changed mind,2023-11-02T21:53:37,0
115,798,1161,1303,Accident,Accident,2023-11-19T05:47:12,0
116,826,445,22,Passenger,Vehicle issue,2023-02-22T19:44:39,0
117,827,592,173,Driver,Changed mind,2023-01-23T16:26:40,0
118,828,1154,319,Accident,Accident,2023-10-27T23:34:36,0
119,838,1165,957,Driver,Vehicle issue,2023-03-10T16:37:38,0
120,865,499,936,Accident,Accident,2023-07-27T18:22:22,0
121,866,1400,582,Driver,Changed mind,2023-07-19T14:02:20,5.12
122,875,833,1224,Passenger,Vehicle issue,2023-10-20T11:49:02,0
123,882,76,622,Driver,No show,2023-09-25T18:50:57,0
124,892,1072,622,Driver,Driver too far,2023-06-28T21:37:45,0
125,894,280,1311,Driver,Driver too far,2023-06-16T23:40:16,8.9
126,915,913,635,Driver,Driver too far,2023-06-06T17:13:23,0
127,917,1130,891,Passenger,Vehicle issue,2023-08-30T10:05:51,0
128,928,1119,845,Driver,No show,2023-09-20T12:59:41,0
129,934,166,1311,Driver,Changed mind,2023-08-25T16:49:07,0
130,939,1393,507,Passenger,Vehicle issue,2023-09-09T03:04:28,0
131,940,1190,635,Driver,Changed mind,2023-04-19T20:53:24,0
132,943,904,259,Driver,Vehicle issue,2023-10-29T07:58:55,19.6
133,950,1336,350,Driver,Driver too far,2023-06-25T07:05:07,4.46
134,966,1434,173,Passenger,No show,2023-01-17T12:53:35,0
135,992,880,1359,Accident,Accident,2023-01-06T15:48:30,0
136,994,621,363,Passenger,Driver too far,2023-06-24T07:22:24,0
137,996,1278,1094,Driver,No show,2023-12-31T08:08:18,0
138,1008,904,799,Driver,Changed mind,2023-07-19T05:20:07,3.79
139,1014,1455,905,Driver,Vehicle issue,2023-05-13T04:35:39,0
140,1015,623,277,Driver,No show,2023-04-18T13:14:28,0
141,1020,829,1156,Driver,Driver too far,2023-02-10T16:55:38,0
142,1024,1423,1108,Passenger,Changed mind,2023-03-17T19:01:45,3.31
143,1035,547,466,Driver,No show,2023-04-16T02:04:53,0
144,1037,367,1303,Driver,Driver too far,2023-07-28T09:18:52,0
145,1042,360,72,Driver,Driver too far,2023-12-14T08:47:21,0
146,1054,1414,631,Passenger,No show,2023-01-07T14:37:57,0
147,1055,49,59,Driver,Driver too far,2023-09-19T21:54:27,0
148,1060,70,1293,Passenger,Changed mind,2023-04-24T05:42:04,5.62
149,1069,203,1156,Passenger,Changed mind,2023-12-09T16:23:55,0
150,1078,145,1124,Accident,Accident,2023-02-04T18:52:54,0
151,1080,461,712,Passenger,Changed mind,2023-04-27T10:46:54,0
152,1081,314,731,Passenger,No show,2023-04-02T05:14:32,0
153,1100,1041,533,Passenger,No show,2023-02-16T20:13:29,4.25
154,1103,1245,799,Passenger,No show,2023-11-03T13:13:02,0
155,1110,1058,1105,Driver,No show,2023-04-11T19:26:47,0
156,1118,1097,1,Driver,Changed mind,2023-04-27T14:37:05,0
157,1121,493,1079,Accident,Accident,2023-01-23T08:16:33,0
158,1132,469,1311,Driver,Vehicle issue,2023-01-13T15:02:38,0
159,1148,404,269,Driver,Driver too far,2023-10-01T20:29:45,56.55
160,1156,1358,1108,Driver,Changed mind,2023-10-14T06:24:55,0
161,1159,1212,1311,Driver,No show,2023-03-09T23:09:49,0
162,1166,869,908,Passenger,Vehicle issue,2023-01-05T19:52:48,0
163,1172,784,750,Driver,Vehicle issue,2023-03-29T12:50:44,0
164,1177,877,1224,Driver,Driver too far,2023-02-21T00:30:26,0
165,1189,492,1224,Passenger,Changed mind,2023-02-05T02:57:02,0
166,1193,574,72,Accident,Accident,2023-08-07T00:44:53,0
167,1209,83,277,Accident,Accident,2023-06-06T14:24:45,0
168,1214,202,1108,Driver,Changed mind,2023-03-19T17:28:33,0
169,1215,64,173,Accident,Accident,2023-12-15T06:50:36,0
170,1217,638,908,Driver,Changed mind,2023-01-07T11:30:37,0
171,1222,613,173,Driver,Changed mind,2023-05-01T05:53:06,2.93
172,1227,1471,1,Driver,Vehicle issue,2023-07-02T16:47:53,59.48
173,1241,135,976,Driver,No show,2023-06-01T14:49:20,0
174,1253,278,350,Driver,Driver too far,2023-05-18T05:11:33,2.93
175,1269,61,622,Driver,Vehicle issue,2023-06-22T00:36:30,14.91
176,1273,872,631,Driver,Changed mind,2023-01-28T13:32:24,8.46
177,1274,1214,466,Passenger,Driver too far,2023-07-08T03:00:03,0
178,1288,426,350,Driver,Changed mind,2023-07-25T13:17:52,0
179,1291,588,750,Passenger,No show,2023-01-27T20:39:49,0
180,1299,585,582,Driver,Vehicle issue,2023-08-10T13:56:32,8.32
181,1306,1495,731,Passenger,Driver too far,2023-01-28T10:04:07,0
182,1307,1160,891,Passenger,Driver too far,2023-08-31T11:03:22,0
183,1311,1149,1156,Driver,No show,2023-09-07T22:34:27,0
184,1315,752,184,Accident,Accident,2023-06-23T05:53:12,0
185,1319,684,634,Driver,Driver too far,2023-03-19T01:43:27,0
186,1325,1369,269,Driver,No show,2023-11-16T02:18:28,0
187,1331,62,622,Passenger,No show,2023-02-28T20:40:58,2.95
188,1334,892,1293,Passenger,Driver too far,2023-05-20T01:35:45,0
189,1345,920,936,Driver,No show,2023-07-27T17:16:46,12.46
190,1351,1249,1284,Accident,Accident,2023-03-13T12:47:04,0
191,1358,784,319,Driver,Vehicle issue,2023-04-06T15:35:22,0
192,1360,674,1106,Driver,No show,2023-04-01T14:45:55,0
193,1371,697,72,Driver,Driver too far,2023-08-22T01:11:22,0
194,1375,1255,1106,Passenger,Driver too far,2023-09-13T10:10:22,0
195,1379,244,59,Driver,Changed mind,2023-12-07T13:21:51,6.22
196,1408,640,1303,Driver,Driver too far,2023-01-02T20:27:08,2.95
197,1425,604,259,Driver,Changed mind,2023-08-24T10:54:00,0
198,1426,154,59,Driver,No show,2023-02-25T14:44:55,0
199,1429,305,1293,Driver,Vehicle issue,2023-03-13T02:26:01,0
200,1430,998,1105,Driver,Vehicle issue,2023-04-12T01:02:55,6.86
201,1432,302,22,Driver,No show,2023-09-19T01:04:29,0
202,1435,1206,1224,Driver,Changed mind,2023-11-30T04:52:20,0
203,1442,52,1073,Driver,Changed mind,2023-05-24T21:03:45,8.94
204,1450,1209,1311,Passenger,Changed mind,2023-07-02T12:56:48,0
205,1457,18,712,Driver,Vehicle issue,2023-06-27T08:34:57,6.24
206,1459,103,22,Driver,Driver too far,2023-02-24T23:24:52,0
207,1469,1050,184,Driver,Changed mind,2023-02-23T20:52:43,0
208,1470,272,976,Passenger,Driver too far,2023-01-02T00:22:42,0
209,1477,174,1284,Driver,Vehicle issue,2023-02-23T05:55:53,0
210,1483,336,1079,Driver,No show,2023-06-15T02:22:06,0
211,1487,614,908,Driver,Driver too far,2023-10-28T06:49:31,13.81
212,1488,747,1429,Passenger,Vehicle issue,2023-05-17T06:49:03,0
213,1508,315,1073,Driver,Driver too far,2023-06-18T14:24:43,4.33
214,1513,898,1342,Driver,Changed mind,2023-07-19T12:00:19,7.38
215,1516,453,667,Driver,Driver too far,2023-10-31T13:28:21,0
216,1563,1300,1094,Driver,Driver too far,2023-12-03T09:59:33,0
217,1571,1329,634,Accident,Accident,2023-07-17T12:14:26,7.33
218,1578,728,1342,Driver,Vehicle issue,2023-06-24T16:08:49,0
219,1587,588,1108,Driver,Changed mind,2023-10-22T22:46:43,0
220,1600,1020,1105,Driver,Driver too far,2023-07-01T11:03:50,2.92
221,1605,893,470,Passenger,Driver too far,2023-01-31T13:13:19,0
222,1621,1250,750,Passenger,No show,2023-12-25T17:54:22,10.84
223,1639,409,1073,Driver,Driver too far,2023-05-29T10:17:27,0
224,1645,1412,1106,Driver,No show,2023-07-27T16:40:40,0
225,1646,904,891,Driver,No show,2023-10-10T12:44:37,0
226,1648,730,466,Driver,Vehicle issue,2023-11-02T18:06:22,0
227,1669,231,908,Accident,Accident,2023-05-10T08:02:34,0
228,1681,1033,1359,Accident,Accident,2023-05-23T22:09:34,16.19
229,1695,1025,799,Driver,No show,2023-10-12T09:40:59,0
230,1702,371,908,Passenger,Changed mind,2023-05-09T23:32:31,0
231,1706,183,1311,Driver,Vehicle issue,2023-05-09T07:44:43,0
232,1708,274,731,Driver,Changed mind,2023-12-20T10:32:27,0
233,1711,966,466,Driver,No show,2023-09-04T14:51:15,0
234,1729,1259,533,Passenger,No show,2023-08-12T23:09:18,0
235,1736,426,173,Driver,Changed mind,2023-08-11T11:30:16,0
236,1739,1424,1284,Passenger,Vehicle issue,2023-01-11T18:16:52,11.67
237,1751,125,582,Driver,No show,2023-09-21T14:36:38,6.08
238,1752,1216,319,Passenger,Changed mind,2023-01-05T22:50:19,37.22
239,1767,46,1124,Passenger,Vehicle issue,2023-10-05T20:55:49,0
240,1770,611,259,Driver,No show,2023-01-22T06:11:00,0
241,1775,743,712,Driver,Driver too far,2023-01-14T15:57:38,0
242,1797,262,1,Driver,Changed mind,2023-02-09T14:07:34,0
243,1798,867,1073,Driver,Vehicle issue,2023-08-03T11:00:05,0
244,1803,116,1224,Passenger,No show,2023-10-09T19:30:29,0
245,1807,1372,558,Accident,Accident,2023-04-25T16:37:25,0
246,1812,620,507,Driver,Changed mind,2023-11-11T15:11:47,0
247,1817,1192,22,Driver,No show,2023-05-16T12:53:41,10.3
248,1828,874,912,Driver,Changed mind,2023-05-04T02:45:48,0
249,1829,449,845,Driver,Changed mind,2023-02-01T16:41:18,0
250,1832,1136,259,Passenger,Vehicle issue,2023-12-10T21:34:44,0
251,1837,1464,259,Driver,No show,2023-01-07T03:23:22,0
252,1844,614,891,Passenger,Driver too far,2023-05-16T12:19:59,0
253,1855,1167,350,Driver,Vehicle issue,2023-06-27T02:30:57,3.87
254,1862,528,1108,Passenger,No show,2023-10-25T21:28:51,0
255,1863,230,1124,Driver,No show,2023-09-14T01:06:54,0
256,1866,267,1224,Driver,Changed mind,2023-02-10T19:55:22,0
257,1893,307,1303,Driver,No show,2023-04-01T13:21:06,0
258,1895,354,1105,Passenger,Changed mind,2023-08-13T01:18:52,0
259,1899,1309,1303,Accident,Accident,2023-07-14T05:30:08,4.55
260,1908,997,634,Driver,Driver too far,2023-11-13T14:37:23,0
261,1923,1023,631,Driver,Driver too far,2023-08-01T16:25:20,0
262,1925,1319,1224,Driver,Vehicle issue,2023-08-18T00:14:06,0
263,1926,10,908,Passenger,Driver too far,2023-12-23T13:01:26,0
264,1929,852,1284,Passenger,Vehicle issue,2023-10-01T21:25:56,0
265,1938,619,1284,Driver,No show,2023-11-02T21:25:42,0
266,1939,717,1079,Driver,No show,2023-07-02T23:54:09,0
267,1961,601,976,Driver,Driver too far,2023-01-04T17:33:34,0
268,1972,780,363,Passenger,No show,2023-01-11T19:16:48,6.3
269,1975,1220,635,Passenger,No show,2023-05-28T05:37:51,0
270,1976,840,1429,Driver,No show,2023-09-24T13:54:14,0
271,1979,1120,1073,Driver,No show,2023-03-16T20:05:27,0
272,1987,1097,1094,Driver,Vehicle issue,2023-03-06T14:50:45,0
273,1988,843,1303,Driver,Changed mind,2023-04-06T20:20:46,0
274,1991,1249,936,Passenger,Changed mind,2023-12-19T06:46:27,0
275,1995,74,173,Passenger,Driver too far,2023-09-26T08:51:30,0
276,1997,1011,1,Passenger,No show,2023-09-28T00:48:09,18.02
277,1998,141,987,Passenger,Vehicle issue,2023-06-23T12:45:55,0
278,2007,1227,1224,Accident,Accident,2023-05-22T01:40:00,0
279,2008,714,905,Driver,Driver too far,2023-03-13T17:46:31,0
280,2012,4,1,Passenger,Driver too far,2023-01-06T09:18:42,0
281,2019,456,1284,Accident,Accident,2023-11-25T05:26:51,0
282,2029,817,891,Driver,Changed mind,2023-01-07T10:23:25,0
283,2034,170,466,Passenger,No show,2023-09-24T00:11:43,0
284,2040,827,1106,Passenger,Changed mind,2023-11-05T15:25:56,8.48
285,2046,1465,72,Driver,Vehicle issue,2023-07-29T13:05:52,0
286,2048,499,1211,Driver,Changed mind,2023-04-17T04:39:07,0
287,2050,469,957,Passenger,Changed mind,2023-10-28T19:08:42,0
288,2051,216,466,Accident,Accident,2023-05-19T03:05:40,16.71
289,2054,1222,22,Passenger,Driver too far,2023-09-22T07:28:37,0
290,2070,856,173,Driver,No show,2023-08-18T09:01:04,0
291,2075,32,1284,Driver,No show,2023-10-31T19:44:54,5.6
292,2083,158,667,Driver,Changed mind,2023-12-01T19:33:13,0
293,2107,919,1124,Passenger,Driver too far,2023-02-08T02:10:11,0
294,2118,997,582,Driver,Changed mind,2023-09-16T02:17:11,0
295,2135,185,731,Accident,Accident,2023-04-08T17:12:09,0
296,2140,26,1293,Driver,Driver too far,2023-08-13T18:38:01,4.78
297,2146,1334,912,Accident,Accident,2023-06-19T05:09:48,4.6
298,2148,847,1124,Driver,Changed mind,2023-04-13T19:32:46,10.23
299,2165,426,667,Driver,Vehicle issue,2023-02-10T02:05:13,0
300,2169,1190,1108,Driver,Changed mind,2023-10-25T11:16:09,0
301,2170,889,799,Driver,Vehicle issue,2023-07-23T07:30:13,0
302,2179,1297,59,Driver,Changed mind,2023-11-05T00:53:33,0
303,2186,279,1429,Driver,Changed mind,2023-09-05T11:09:49,0
304,2187,351,1224,Passenger,Changed mind,2023-01-15T03:29:04,0
305,2201,1113,507,Passenger,Changed mind,2023-11-26T20:55:29,0
306,2234,107,635,Driver,No show,2023-04-16T12:12:03,0
307,2244,547,936,Driver,Driver too far,2023-09-24T02:21:40,0
308,2248,142,558,Passenger,Driver too far,2023-12-18T09:16:42,0
309,2252,66,582,Driver,Vehicle issue,2023-06-24T20:24:50,0
310,2274,66,731,Driver,Changed mind,2023-01-26T04:47:36,21.1
311,2300,920,1284,Passenger,Vehicle issue,2023-10-26T21:07:26,3.26
312,2303,542,1094,Driver,Driver too far,2023-11-12T01:44:45,0
313,2319,827,957,Driver,No show,2023-08-01T04:14:37,0
314,2323,220,905,Passenger,Vehicle issue,2023-07-05T05:16:17,0
315,2328,1417,1284,Passenger,Driver too far,2023-07-04T18:45:58,0
316,2330,743,173,Passenger,Vehicle issue,2023-12-31T04:13:53,0
317,2352,931,891,Passenger,Vehicle issue,2023-01-06T16:00:17,0
318,2354,1053,908,Passenger,Changed mind,2023-02-24T18:04:36,0
319,2361,821,1073,Driver,No show,2023-06-19T23:31:01,0
320,2365,337,908,Driver,Driver too far,2023-05-02T23:06:43,0
321,2375,1080,731,Driver,Changed mind,2023-09-17T15:40:13,0
322,2380,918,1284,Accident,Accident,2023-04-13T10:13:24,4.17
323,2388,521,1079,Passenger,No show,2023-07-20T04:44:40,0
324,2390,1038,936,Driver,No show,2023-09-02T12:18:43,0
325,2395,279,1094,Driver,No show,2023-12-02T21:10:22,15.42
326,2402,701,976,Passenger,Vehicle issue,2023-06-06T07:28:10,0
327,2403,510,976,Passenger,No show,2023-04-17T11:54:38,0
328,2405,1093,912,Passenger,Vehicle issue,2023-02-12T00:44:57,0
329,2406,872,173,Driver,Changed mind,2023-01-17T05:23:17,0
330,2420,1313,269,Passenger,Vehicle issue,2023-04-16T13:44:27,0
331,2432,1336,905,Driver,Driver too far,2023-08-09T13:14:35,0
332,2441,695,905,Driver,Changed mind,2023-12-14T21:27:34,0
333,2442,396,1311,Driver,Vehicle issue,2023-01-11T00:28:41,5.14
334,2447,1400,1156,Driver,No show,2023-02-16T18:52:53,0
335,2453,1304,1359,Driver,Vehicle issue,2023-08-12T10:26:44,0
336,2456,495,957,Passenger,Changed mind,2023-12-14T13:35:37,0
337,2458,850,269,Passenger,Driver too far,2023-11-07T13:51:47,0
338,2463,368,731,Driver,Driver too far,2023-06-21T05:45:18,0
339,2469,311,622,Driver,Driver too far,2023-11-30T07:57:34,0
340,2472,238,1079,Passenger,Changed mind,2023-01-24T07:59:00,0
341,2475,751,1310,Driver,No show,2023-05-24T00:01:13,0
342,2476,1483,363,Passenger,No show,2023-03-24T20:29:25,0
343,2479,921,750,Passenger,No show,2023-01-10T20:55:00,0
344,2482,276,667,Driver,Vehicle issue,2023-05-15T01:48:57,0
345,2490,523,558,Driver,Driver too far,2023-03-04T12:52:40,0
346,2496,972,319,Driver,Vehicle issue,2023-06-30T02:44:02,0
347,2500,713,750,Passenger,No show,2023-11-02T01:05:22,3.36
348,2509,1313,466,Driver,No show,2023-10-20T14:26:23,9.87
349,2512,1195,845,Driver,Driver too far,2023-06-05T04:40:33,0
350,2517,911,1311,Driver,Vehicle issue,2023-06-25T04:06:09,0
351,2526,1408,470,Passenger,Driver too far,2023-08-07T07:55:57,0
352,2538,1483,912,Driver,Changed mind,2023-08-19T19:38:50,6.72
353,2552,535,987,Driver,Driver too far,2023-11-04T22:50:59,0
354,2555,914,799,Passenger,Changed mind,2023-09-03T17:44:03,11.2
355,2567,128,1106,Accident,Accident,2023-06-10T16:03:11,0
356,2575,328,1079,Driver,Driver too far,2023-10-09T03:17:27,0
357,2602,575,1106,Passenger,Changed mind,2023-07-18T12:21:01,0
358,2603,360,582,Driver,Driver too far,2023-01-24T01:14:05,0
359,2615,1018,1211,Passenger,Driver too far,2023-04-01T11:52:04,0
360,2616,44,976,Driver,Vehicle issue,2023-11-11T17:06:02,0
361,2617,341,622,Driver,No show,2023-02-10T10:03:38,10.74
362,2618,213,277,Passenger,Driver too far,2023-05-05T09:11:35,0
363,2630,800,319,Passenger,Vehicle issue,2023-01-23T20:44:50,0
364,2635,886,634,Driver,Vehicle issue,2023-11-17T20:23:47,0
365,2643,948,184,Passenger,Changed mind,2023-05-22T01:34:50,0
366,2660,1176,1293,Driver,Vehicle issue,2023-05-30T17:35:08,0
367,2683,1197,635,Driver,Changed mind,2023-12-07T22:15:13,4.48
368,2713,854,750,Driver,Driver too far,2023-05-01T14:04:39,3.46
369,2729,1004,1108,Driver,Changed mind,2023-12-29T05:26:00,8.63
370,2753,1396,1429,Driver,Driver too far,2023-03-24T00:13:26,0
371,2758,861,891,Passenger,No show,2023-12-20T19:26:10,0
372,2761,1057,319,Driver,No show,2023-10-17T13:34:14,0
373,2780,751,667,Passenger,Driver too far,2023-10-28T22:32:50,0
374,2808,933,59,Driver,Vehicle issue,2023-01-29T21:07:49,0
375,2820,222,845,Driver,Vehicle issue,2023-09-23T11:35:42,0
376,2824,451,936,Passenger,Vehicle issue,2023-01-08T04:50:00,0
377,2829,115,1429,Accident,Accident,2023-07-15T01:48:50,0
378,2830,339,59,Driver,Changed mind,2023-04-04T18:11:03,0
379,2837,151,1284,Passenger,Changed mind,2023-08-15T09:55:37,0
380,2840,1008,634,Driver,Changed mind,2023-10-26T07:33:41,0
381,2843,640,667,Driver,No show,2023-10-05T10:25:12,0
382,2844,1158,908,Driver,Changed mind,2023-02-07T04:10:21,0
383,2858,668,731,Accident,Accident,2023-01-22T13:36:39,0
384,2859,1417,1108,Driver,Changed mind,2023-06-13T01:05:24,0
385,2870,1454,957,Driver,Driver too far,2023-02-02T14:55:51,18.26
386,2873,12,1311,Accident,Accident,2023-09-14T12:47:05,0
387,2874,1373,750,Passenger,No show,2023-04-23T07:31:13,0
388,2883,546,667,Accident,Accident,2023-12-29T15:35:44,0
389,2884,1433,1105,Driver,Vehicle issue,2023-03-23T18:13:15,0
390,2896,60,622,Passenger,Vehicle issue,2023-03-15T05:34:36,0
391,2898,606,269,Driver,Vehicle issue,2023-07-25T19:03:12,0
392,2919,612,507,Driver,No show,2023-12-17T10:08:30,0
393,2930,1136,891,Driver,Changed mind,2023-01-12T08:42:29,4.72
394,2933,675,908,Driver,No show,2023-06-02T00:21:44,0
395,2934,818,634,Driver,Changed mind,2023-02-21T13:22:15,0
396,2935,1319,259,Driver,Vehicle issue,2023-03-11T01:07:46,3.66
397,2937,119,634,Driver,Changed mind,2023-09-06T10:39:24,0
398,2943,2,891,Driver,No show,2023-04-20T19:26:01,0
399,2951,607,350,Driver,Vehicle issue,2023-06-17T06:14:17,0
400,2953,491,319,Driver,Changed mind,2023-09-11T15:13:57,0
401,2969,1053,1342,Driver,Changed mind,2023-04-22T14:08:12,0
