RideID,PassengerUserID,DriverUserID,DriverID,VehicleID,VehicleType,PickupDistrict,PickupStreet,DropoffDistrict,DropoffStreet,RequestedTime,StartTime,EndTime,DurationMin,DistanceKM,RawFare_BDT,DiscountPercent,DiscountAmount_BDT,FinalFare_BDT,CancellationFee_BDT,Commission_BDT,DriverEarning_BDT,PaymentMethod,PaymentStatus,RideStatus
11,809,987,42,42,Car Lite,Dhaka,Anderson Avenue 356,Dhaka,Gonzalez Lane 534,2023-09-07T08:44:42.771078,2023-09-07T08:49:34,2023-09-07T08:55:34,6,2.97,121.4,0.123,14.9,106.5,0,26.62,79.88,Cash,Paid,Completed
12,244,1311,37,37,Bike,Gazipur,Bishop Road 681,Gazipur,Reid Road 384,2023-05-23T19:32:57,2023-05-23T19:33:27,2023-05-23T19:40:27,7,2.16,53.6,0,0,53.6,0,13.4,40.2,Pathao Pay,Paid,Completed
13,822,363,28,28,Car Lite,Dhaka,Smith Road 592,Dhaka,Price Highway 275,2023-05-05T03:12:56.556323,2023-05-05T03:17:18,2023-05-05T03:21:18,4,2.11,100.2,0.052,5.24,94.96,0,23.74,71.22,Pathao Pay,Paid,Completed
14,461,1293,32,32,Bike,Gazipur,Thompson Road 613,Gazipur,Graham Lane 615,2023-09-22T01:51:32.415398,2023-09-22T01:52:53,2023-09-22T01:54:53,2,0.66,33.6,0.216,7.27,26.33,0,6.58,19.75,Pathao Pay,Paid,Completed
15,1065,184,45,45,Bike,Dhaka,Garcia Bazar 774,Dhaka,Wallace Bazar 446,2023-02-17T22:42:29.634792,2023-02-17T22:46:04,2023-02-17T23:48:04,62,21.24,299.4,0.123,36.79,262.61,0,65.65,196.96,Card,Paid,Completed
16,444,631,47,47,Car Lite,Dhaka,Juarez Highway 651,Dhaka,Weiss Road 29,2023-12-29T21:25:52.296736,2023-12-29T21:32:45,,19,10.85,305,0.266,81.24,30.5,30.5,7.62,22.88,CancellationCharge,CancellationCharge,CancelledByPassenger
17,1404,269,11,11,Car Plus,Dhaka,Lara Road 797,Dhaka,Reese Access Rd 709,2023-01-09T08:57:45.980303,2023-01-09T09:00:28,2023-01-09T09:24:28,24,16.93,654.9,0,0,654.9,0,163.72,491.18,Cash,Paid,Completed
18,1167,1429,26,26,Car Lite,Chattogram,Alexander Access Rd 770,Chattogram,Knight Highway 57,2023-02-07T19:01:26.227626,2023-02-07T19:05:02,,3,1.58,87.6,0,0,0,0,0,0,N/A,NoCharge,CancelledByDriver
19,938,184,45,45,Bike,Dhaka,Mitchell Street 33,Dhaka,Haynes Station Rd 499,2023-07-07T08:37:09.850918,2023-07-07T08:40:57,2023-07-07T08:46:57,6,1.69,47.9,0,0,47.9,0,11.97,35.93,Cash,Paid,Completed
20,312,277,25,25,Bike,Dhaka,Richardson Highway 17,Dhaka,Ross Station Rd 498,2023-06-15T20:53:00.324646,2023-06-15T20:57:49,2023-06-15T21:19:49,22,7.55,122.5,0.139,17.01,105.49,0,26.37,79.12,Cash,Paid,Completed
21,718,1310,38,38,Car Plus,Dhaka,Brooks Bazar 233,Dhaka,Moran Highway 308,2023-06-18T11:24:26.887813,2023-06-18T11:30:31,2023-06-18T11:32:31,2,1.32,120.6,0.172,20.76,99.84,0,24.96,74.88,Cash,Paid,Completed
22,1471,319,51,51,Car Lite,Dhaka,Gibson Bazar 628,Dhaka,Mitchell Street 33,2023-09-18T11:39:04.896398,2023-09-18T11:42:41,2023-09-18T11:48:41,6,3.29,127.8,0,0,127.8,0,31.95,95.85,Cash,Paid,Completed
23,26,908,8,8,Bike,Dhaka,Lamb Access Rd 220,Dhaka,Hamilton Bazar 477,2023-02-15T06:57:23.425918,2023-02-15T07:02:54,2023-02-15T07:13:54,11,3.84,74.4,0.193,14.38,60.02,0,15.01,45.01,Cash,Paid,Completed
24,1261,1079,12,12,Bike,Dhaka,Lozano Bazar 24,Dhaka,Mckinney Access Rd 473,2023-05-30T02:41:03.234080,2023-05-30T02:45:55,2023-05-30T02:48:55,3,0.99,37.9,0,0,37.9,0,9.47,28.43,Cash,Paid,Completed
25,1144,1079,12,12,Bike,Chattogram,Smith Lane 507,Chattogram,Young Lane 485,2023-06-07T09:53:08.082984,2023-06-07T09:57:15,2023-06-07T10:23:15,26,8.81,139.1,0,0,139.1,0,34.77,104.33,Cash,Paid,Completed
26,1388,908,8,8,Bike,Dhaka,Sellers Street 554,Dhaka,Gonzalez Street 267,2023-10-20T15:08:36.590568,2023-10-20T15:12:20,2023-10-20T15:23:20,11,3.91,75.1,0,0,75.1,0,18.77,56.33,Cash,Paid,Completed
27,85,1284,9,9,Bike,Dhaka,Arnold Avenue 648,Dhaka,Jones Avenue 381,2023-08-12T08:04:22.507943,2023-08-12T08:08:37,2023-08-12T09:05:37,57,20.1,283,0.295,83.48,199.52,0,49.88,149.64,Cash,Paid,Completed
28,1401,173,1,1,Bike,Dhaka,Douglas Street 4,Dhaka,Andersen Road 401,2023-04-07T10:35:17.639872,2023-04-07T10:40:09,,1,0.34,29.4,0,0,0,0,0,0,N/A,NoCharge,CancelledByPassenger
29,747,1094,39,39,Bike,Dhaka,Robbins Highway 688,Dhaka,Brown Highway 470,2023-07-29T00:26:50.047285,2023-07-29T00:28:33,2023-07-29T00:31:33,3,1.02,38.2,0.085,3.26,34.94,0,8.73,26.21,Pathao Pay,Paid,Completed
30,455,1310,38,38,Car Plus,Chattogram,Paul Highway 246,Chattogram,Johnson Avenue 291,2023-05-20T10:39:56.132761,2023-05-20T10:43:47,,19,11.24,469.2,0,0,0,0,0,0,N/A,NoCharge,CancelledByPassenger
31,848,1224,30,30,Bike,Gazipur,Jones Street 651,Gazipur,Barrett Highway 841,2023-02-02T07:52:55.850882,2023-02-02T07:59:03,2023-02-02T08:23:03,24,7.12,120.2,0.208,25.04,95.16,0,23.79,71.37,Cash,Paid,Completed
32,1086,1094,39,39,Bike,Chattogram,Barker Bazar 613,Chattogram,Roberts Highway 104,2023-03-05T16:56:18.010838,2023-03-05T16:59:32,2023-03-05T17:00:32,1,0.33,29.3,0,0,29.3,0,7.33,21.97,Cash,Paid,Completed
33,571,908,8,8,Bike,Dhaka,Livingston Street 162,Dhaka,Hudson Street 451,2023-07-26T09:34:11.559381,2023-07-26T09:39:39,,1,0.32,29.2,0.267,7.8,0,0,0,0,N/A,NoCharge,CancelledByPassenger
34,469,277,25,25,Bike,Sylhet,Padilla Lane 72,Sylhet,Williams Avenue 279,2023-02-10T18:36:33.671960,2023-02-10T18:41:46,2023-02-10T18:53:46,12,4.18,78.8,0,0,78.8,0,19.7,59.1,Pathao Pay,Paid,Completed
35,1127,1124,23,23,Bike,Dhaka,Short Station Rd 694,Dhaka,Young Street 464,2023-09-30T00:40:12.856915,2023-09-30T00:43:07,2023-09-30T00:54:07,11,3.54,71.4,0.129,9.25,62.15,0,15.54,46.61,Pathao Pay,Paid,Completed
36,1132,1073,36,36,Bike,Chattogram,Patterson Lane 346,Chattogram,Jimenez Road 494,2023-08-19T22:10:26.087712,2023-08-19T22:13:54,2023-08-19T22:14:54,1,0.36,29.6,0,0,29.6,0,7.4,22.2,Cash,Paid,Completed
37,266,259,10,10,Bike,Dhaka,Johnston Avenue 254,Dhaka,Kelley Road 542,2023-05-28T02:37:45.692390,2023-05-28T02:40:41,2023-05-28T02:43:41,3,1.16,39.6,0,0,39.6,0,9.9,29.7,Pathao Pay,Paid,Completed
38,387,1211,29,29,Bike,Chattogram,Wall Access Rd 189,Chattogram,Mejia Lane 362,2023-05-18T11:28:25.239479,2023-05-18T11:31:56,2023-05-18T11:46:56,15,5.41,94.1,0.157,14.77,79.33,0,19.83,59.5,Card,Paid,Completed
39,648,1105,27,27,Bike,Gazipur,Davis Street 46,Gazipur,Castaneda Station Rd 245,2023-10-27T06:14:55.024171,2023-10-27T06:18:40,2023-10-27T06:27:40,9,3.04,64.4,0,0,64.4,0,16.1,48.3,Card,Paid,Completed
40,289,936,31,31,Car Lite,Gazipur,Olson Avenue 430,Gazipur,Hoover Station Rd 332,2023-07-13T07:48:13.880610,2023-07-13T07:52:50,2023-07-13T08:27:50,35,16.91,458.2,0,0,458.2,0,114.55,343.65,Pathao Pay,Paid,Completed
41,732,1359,16,16,Bike,Dhaka,Ray Road 416,Dhaka,Wilson Avenue 51,2023-10-14T23:47:06.245582,2023-10-14T23:49:19,2023-10-14T23:50:19,1,0.34,29.4,0,0,29.4,0,7.35,22.05,Cash,Paid,Completed
42,158,912,24,24,Bike,Dhaka,Guzman Street 215,Dhaka,Li Highway 692,2023-11-22T23:50:21.780078,2023-11-22T23:51:30,2023-11-22T23:54:30,3,0.92,37.2,0.174,6.47,30.73,0,7.68,23.05,Cash,Paid,Completed
43,1148,533,50,50,Bike,Chattogram,Perez Access Rd 552,Chattogram,Sanders Highway 780,2023-11-30T03:15:01.987635,2023-11-30T03:19:58,2023-11-30T03:45:58,26,8.35,134.5,0,0,134.5,0,33.62,100.88,Cash,Paid,Completed
44,1370,1303,33,33,Bike,Gazipur,Irwin Road 694,Gazipur,Rogers Lane 400,2023-11-17T16:15:21.797104,2023-11-17T16:20:13,,1,0.33,29.3,0.137,4.03,0,0,0,0,N/A,NoCharge,CancelledByDriver
45,1044,350,13,13,Bike,Dhaka,Clark Station Rd 785,Dhaka,Floyd Lane 842,2023-02-02T21:51:18.307385,2023-02-02T21:52:09,2023-02-02T22:09:09,17,4.87,90.7,0.242,21.98,68.72,0,17.18,51.54,Cash,Paid,Completed
46,909,1079,12,12,Bike,Dhaka,Wallace Bazar 75,Dhaka,Wilson Highway 603,2023-07-28T07:48:30.999807,2023-07-28T07:51:56,2023-07-28T07:53:56,2,0.7,34,0,0,34,0,8.5,25.5,Pathao Pay,Paid,Completed
47,13,1124,23,23,Bike,Chattogram,Frank Bazar 894,Chattogram,Ruiz Station Rd 412,2023-12-10T03:26:57.878584,2023-12-10T03:31:39,2023-12-10T03:32:39,1,0.31,29.1,0,0,29.1,0,7.28,21.82,Cash,Paid,Completed
48,562,908,8,8,Bike,Sylhet,Rivers Street 195,Sylhet,Acosta Bazar 591,2023-06-13T12:50:17.507390,2023-06-13T12:53:34,,14,4.65,85.5,0,0,8.55,8.55,2.14,6.41,CancellationCharge,CancellationCharge,CancelledByDriver
49,824,1284,9,9,Bike,Gazipur,Kirk Highway 283,Gazipur,Mathews Highway 70,2023-02-12T14:40:26.946064,2023-02-12T14:47:01,2023-02-12T14:54:01,7,2.15,53.5,0.221,11.83,41.67,0,10.42,31.25,Cash,Paid,Completed
50,18,363,28,28,Car Lite,Dhaka,Garcia Lane 94,Dhaka,Green Station Rd 320,2023-07-06T11:40:04.958637,2023-07-06T11:43:23,2023-07-06T11:54:23,11,5.19,175.8,0,0,175.8,0,43.95,131.85,Cash,Paid,Completed
51,594,533,50,50,Bike,Dhaka,Frey Highway 333,Dhaka,Bailey Lane 581,2023-02-14T15:56:39.941607,2023-02-14T16:03:50,2023-02-14T16:45:50,42,11.29,179.9,0.227,40.77,139.13,0,34.78,104.35,Pathao Pay,Paid,Completed
52,399,1310,38,38,Car Plus,Chattogram,Hobbs Street 666,Chattogram,Snyder Access Rd 457,2023-09-02T05:50:17,2023-09-02T05:50:47,2023-09-02T05:51:47,1,0.68,98.4,0.06,5.86,92.54,0,23.14,69.4,Card,Paid,Completed
53,193,634,4,4,Bike,Chattogram,Daniels Avenue 802,Chattogram,Mays Bazar 599,2023-05-28T17:05:41.297837,2023-05-28T17:08:37,2023-05-28T17:14:37,6,2.05,51.5,0.17,8.74,42.76,0,10.69,32.07,Cash,Paid,Completed
54,771,667,18,18,Bike,Dhaka,Lane Road 673,Dhaka,Mason Road 477,2023-05-17T07:42:25.646830,2023-05-17T07:47:08,2023-05-17T07:56:08,9,3.12,65.2,0,0,65.2,0,16.3,48.9,Cash,Paid,Completed
55,447,976,19,19,Bike,Chattogram,Perry Road 875,Chattogram,Wheeler Bazar 349,2023-07-03T07:50:26.154478,2023-07-03T07:54:03,2023-07-03T07:57:03,3,0.99,37.9,0,0,37.9,0,9.47,28.43,Cash,Paid,Completed
56,1175,533,50,50,Bike,Dhaka,Cortez Highway 284,Dhaka,Ayala Station Rd 96,2023-12-01T18:04:56.276801,2023-12-01T18:10:57,2023-12-01T18:26:57,16,4.91,90.1,0,0,90.1,0,22.52,67.58,Pathao Pay,Paid,Completed
57,1385,667,18,18,Bike,Dhaka,Cook Road 754,Dhaka,Moore Bazar 607,2023-03-23T13:35:41.180376,2023-03-23T13:39:08,2023-03-23T13:40:08,1,0.3,29,0,0,29,0,7.25,21.75,Cash,Paid,Completed
58,946,582,7,7,Bike,Dhaka,Foster Street 30,Dhaka,Huffman Highway 392,2023-01-30T01:52:01.433973,2023-01-30T01:55:42,2023-01-30T02:32:42,37,11.69,178.9,0,0,178.9,0,44.73,134.17,Cash,Paid,Completed
59,1172,905,46,46,Bike,Dhaka,Owen Road 352,Dhaka,Hudson Street 451,2023-04-09T01:36:30.993961,2023-04-09T01:42:29,2023-04-09T01:47:29,5,1.85,48.5,0.142,6.86,41.64,0,10.41,31.23,Cash,Paid,Completed
60,887,1156,34,34,Bike,Dhaka,Lambert Access Rd 898,Dhaka,Simmons Bazar 180,2023-12-28T16:36:22.657676,2023-12-28T16:38:47,,34,10.62,165.2,0,0,0,0,0,0,N/A,NoCharge,CancelledByDriver
61,842,1293,32,32,Bike,Chattogram,Lang Avenue 188,Chattogram,Maynard Avenue 207,2023-09-23T21:46:32.796419,2023-09-23T21:48:47,2023-09-23T21:52:47,4,1.2,41,0,0,41,0,10.25,30.75,Cash,Paid,Completed
62,389,173,1,1,Bike,Dhaka,Wells Bazar 245,Dhaka,Jones Avenue 602,2023-03-04T03:16:32.888486,2023-03-04T03:20:11,2023-03-04T03:21:11,1,0.34,29.4,0.282,8.3,21.1,0,5.28,15.82,Cash,Paid,Completed
63,644,72,15,15,Bike,Dhaka,Mcintyre Highway 286,Dhaka,Hernandez Station Rd 819,2023-04-26T02:15:04.579600,2023-04-26T02:18:35,2023-04-26T02:19:35,1,0.36,29.6,0,0,29.6,0,7.4,22.2,Cash,Paid,Completed
64,244,173,1,1,Bike,Dhaka,Campbell Bazar 512,Dhaka,Tucker Highway 118,2023-09-09T21:46:41.174819,2023-09-09T21:48:51,,18,5.68,99.8,0,0,9.98,9.98,2.5,7.48,CancellationCharge,CancellationCharge,CancelledByPassenger
65,1301,976,19,19,Bike,Dhaka,Johnston Avenue 254,Dhaka,Perez Street 819,2023-05-07T01:43:01.323728,2023-05-07T01:49:07,2023-05-07T01:50:07,1,0.3,29,0,0,29,0,7.25,21.75,Cash,Paid,Completed
66,1241,582,7,7,Bike,Dhaka,Johnson Station Rd 722,Dhaka,Fowler Street 324,2023-10-08T15:04:37.671772,2023-10-08T15:08:26,,2,0.7,34,0,0,0,0,0,0,N/A,NoCharge,CancelledByPassenger
67,568,59,14,14,Car Lite,Dhaka,Morris Lane 73,Dhaka,Jackson Road 713,2023-08-14T21:27:59.939596,2023-08-14T21:29:58,2023-08-14T21:41:58,12,5.84,190.8,0,0,190.8,0,47.7,143.1,Cash,Paid,Completed
68,384,1224,30,30,Bike,Dhaka,Lopez Access Rd 96,Dhaka,Bonilla Access Rd 383,2023-03-13T20:33:19.526996,2023-03-13T20:35:10,,9,3.16,65.6,0,0,0,0,0,0,N/A,NoCharge,CancelledByDriver
69,344,1079,12,12,Bike,Dhaka,Scott Road 184,Dhaka,Callahan Highway 694,2023-11-14T11:36:17.919042,2023-11-14T11:38:41,2023-11-14T11:42:41,4,1.35,42.5,0,0,42.5,0,10.62,31.88,Cash,Paid,Completed
70,30,845,49,49,Bike,Dhaka,Smith Highway 588,Dhaka,Spencer Road 713,2023-11-19T12:53:34.035918,2023-11-19T12:58:50,2023-11-19T13:23:50,25,8.51,135.1,0.071,9.58,125.52,0,31.38,94.14,Cash,Paid,Completed
71,21,319,51,51,Car Lite,Chattogram,Duffy Highway 721,Chattogram,Wood Street 1,2023-02-11T07:07:42.348163,2023-02-11T07:09:02,2023-02-11T07:13:02,4,1.9,96,0.186,17.84,78.16,0,19.54,58.62,Cash,Paid,Completed
72,217,891,35,35,Bike,Chattogram,Rodriguez Station Rd 460,Chattogram,Campos Bazar 541,2023-04-26T05:44:54.725731,2023-04-26T05:48:11,2023-04-26T06:18:11,30,9.51,150.1,0,0,150.1,0,37.52,112.58,Cash,Paid,Completed
73,815,466,44,44,Car Plus,Gazipur,Bradley Highway 391,Gazipur,Young Street 716,2023-12-10T09:30:33.457009,2023-12-10T09:33:51,2023-12-10T09:48:51,15,8.78,383.4,0.289,110.85,272.55,0,68.14,204.41,Cash,Paid,Completed
74,179,799,3,3,Bike,Dhaka,Munoz Access Rd 158,Dhaka,Erickson Lane 758,2023-08-23T18:23:37.111050,2023-08-23T18:24:28,2023-08-23T18:40:28,16,4.89,89.9,0.095,8.57,81.33,0,20.33,61,Cash,Paid,Completed
75,606,1124,23,23,Bike,Chattogram,Martinez Avenue 558,Chattogram,Juarez Lane 867,2023-12-06T23:13:42.802271,2023-12-06T23:20:22,2023-12-06T23:21:22,1,0.38,29.8,0.051,1.51,28.29,0,7.07,21.22,Card,Paid,Completed
76,312,277,25,25,Bike,Dhaka,Petersen Highway 557,Dhaka,Park Access Rd 747,2023-06-23T11:24:08.230765,2023-06-23T11:30:10,2023-06-23T11:38:10,8,3.04,63.4,0,0,63.4,0,15.85,47.55,Cash,Paid,Completed
77,306,507,6,6,Bike,Chattogram,Sanchez Road 19,Chattogram,Butler Station Rd 236,2023-05-06T10:59:36.005005,2023-05-06T11:04:33,2023-05-06T11:25:33,21,6.84,114.4,0,0,114.4,0,28.6,85.8,Cash,Paid,Completed
78,293,622,52,52,Bike,Chattogram,Holmes Lane 109,Chattogram,Anderson Bazar 828,2023-09-11T23:13:43.872987,2023-09-11T23:17:42,2023-09-12T00:02:42,45,16.41,234.1,0,0,234.1,0,58.52,175.58,Cash,Paid,Completed
79,815,507,6,6,Bike,Chattogram,Schultz Road 687,Chattogram,Thompson Access Rd 321,2023-08-14T14:54:58.075264,2023-08-14T14:58:34,2023-08-14T15:20:34,22,8.81,135.1,0.072,9.7,125.4,0,31.35,94.05,Cash,Paid,Completed
80,1188,936,31,31,Car Lite,Dhaka,Shepherd Avenue 311,Dhaka,Summers Bazar 340,2023-02-21T21:08:13.456134,2023-02-21T21:10:26,,1,0.43,60.6,0,0,0,0,0,0,N/A,NoCharge,CancelledByAccident
81,1174,1105,27,27,Bike,Dhaka,Cook Highway 686,Dhaka,Fox Highway 183,2023-04-05T04:10:06.324300,2023-04-05T04:14:22,2023-04-05T04:15:22,1,0.35,29.5,0,0,29.5,0,7.38,22.12,Cash,Paid,Completed
82,788,634,4,4,Bike,Sylhet,Miller Access Rd 181,Sylhet,Campos Access Rd 452,2023-09-30T09:27:14.751303,2023-09-30T09:32:17,2023-09-30T09:54:17,22,6.39,110.9,0,0,110.9,0,27.73,83.17,Cash,Paid,Completed
83,166,1359,16,16,Bike,Dhaka,Bryant Road 292,Dhaka,Cox Highway 776,2023-01-30T22:11:12.792759,2023-01-30T22:18:02,2023-01-30T22:31:02,13,4.12,79.2,0,0,79.2,0,19.8,59.4,Cash,Paid,Completed
84,871,631,47,47,Car Lite,Dhaka,Rivas Lane 260,Dhaka,French Access Rd 453,2023-05-12T00:08:17.706956,2023-05-12T00:12:31,2023-05-12T00:19:31,7,3.42,132.4,0.078,10.3,122.1,0,30.52,91.58,Cash,Paid,Completed
85,1067,269,11,11,Car Plus,Chattogram,Krause Bazar 104,Chattogram,Cook Station Rd 313,2023-01-05T05:14:50.155124,2023-01-05T05:17:35,2023-01-05T05:18:35,1,0.74,100.2,0,0,100.2,0,25.05,75.15,Cash,Paid,Completed
86,897,269,11,11,Car Plus,Chattogram,Owens Road 213,Chattogram,Henderson Highway 712,2023-04-16T13:32:02.748482,2023-04-16T13:37:00,2023-04-16T13:38:00,1,0.76,100.8,0,0,100.8,0,25.2,75.6,Cash,Paid,Completed
87,831,1079,12,12,Bike,Dhaka,Garner Access Rd 317,Dhaka,Cook Highway 348,2023-11-16T10:14:08.898386,2023-11-16T10:18:06,2023-11-16T10:22:06,4,1.32,42.2,0,0,42.2,0,10.55,31.65,Pathao Pay,Paid,Completed
88,898,350,13,13,Bike,Dhaka,Mcbride Street 557,Dhaka,Saunders Lane 334,2023-04-15T19:47:52.176048,2023-04-15T19:49:57,2023-04-15T20:06:57,17,6.19,103.9,0.121,12.53,91.37,0,22.84,68.53,Cash,Paid,Completed
89,656,350,13,13,Bike,Dhaka,Oneal Station Rd 266,Dhaka,Rivas Road 109,2023-08-03T06:03:08.137943,2023-08-03T06:08:10,2023-08-03T06:21:10,13,4.16,79.6,0,0,79.6,0,19.9,59.7,Cash,Paid,Completed
90,655,173,1,1,Bike,Dhaka,Edwards Station Rd 861,Dhaka,Burns Access Rd 424,2023-05-19T12:05:21.340084,2023-05-19T12:12:39,2023-05-19T12:34:39,22,7.33,120.3,0,0,120.3,0,30.07,90.23,Cash,Paid,Completed
91,863,750,48,48,Bike,Dhaka,Douglas Street 450,Dhaka,Ramos Station Rd 133,2023-07-15T13:35:15.434060,2023-07-15T13:41:27,2023-07-15T13:49:27,8,2.36,56.6,0,0,56.6,0,14.15,42.45,Cash,Paid,Completed
92,984,507,6,6,Bike,Dhaka,Ramos Avenue 329,Dhaka,Ruiz Road 608,2023-12-10T18:36:16.139252,2023-12-10T18:41:53,2023-12-10T18:43:53,2,0.64,33.4,0,0,33.4,0,8.35,25.05,Cash,Paid,Completed
93,1097,631,47,47,Car Lite,Sylhet,Hicks Road 14,Sylhet,Chan Avenue 266,2023-08-25T09:49:28.596361,2023-08-25T09:51:28,2023-08-25T09:52:28,1,0.45,61,0.14,8.54,52.46,0,13.12,39.34,Pathao Pay,Paid,Completed
94,1453,277,25,25,Bike,Chattogram,Ortega Bazar 155,Chattogram,Nielsen Bazar 584,2023-04-03T20:39:10.083403,2023-04-03T20:40:21,2023-04-03T20:41:21,1,0.3,29,0.088,2.55,26.45,0,6.61,19.84,Cash,Paid,Completed
95,656,1073,36,36,Bike,Dhaka,Hardin Road 420,Dhaka,Williams Road 214,2023-12-03T21:53:25.020568,2023-12-03T21:59:59,2023-12-03T22:03:59,4,1.25,41.5,0,0,41.5,0,10.38,31.12,Cash,Paid,Completed
96,1006,731,17,17,Bike,Dhaka,Martinez Bazar 297,Dhaka,Roberts Road 551,2023-10-24T08:58:52.430208,2023-10-24T09:02:22,2023-10-24T09:06:22,4,1.53,44.3,0.081,3.59,40.71,0,10.18,30.53,Cash,Paid,Completed
97,866,635,40,40,Bike,Dhaka,Wilkins Highway 627,Dhaka,Campbell Lane 828,2023-12-23T04:18:35.995290,2023-12-23T04:21:55,2023-12-23T04:22:55,1,0.33,29.3,0.071,2.08,27.22,0,6.8,20.42,Cash,Paid,Completed
98,1452,799,3,3,Bike,Gazipur,Murphy Highway 304,Gazipur,Romero Avenue 623,2023-08-30T00:29:47.956848,2023-08-30T00:32:20,2023-08-30T00:35:20,3,1.13,39.3,0,0,39.3,0,9.82,29.48,Cash,Paid,Completed
99,846,470,5,5,Car Lite,Dhaka,Cook Highway 348,Dhaka,Johnson Bazar 63,2023-03-28T14:56:35.528168,2023-03-28T14:59:19,2023-03-28T15:00:19,1,0.45,61,0,0,61,0,15.25,45.75,Card,Paid,Completed
100,228,1429,26,26,Car Lite,Dhaka,Clark Lane 784,Dhaka,Burton Lane 843,2023-10-26T08:12:48.237690,2023-10-26T08:17:53,2023-10-26T08:52:53,35,17.23,464.6,0.136,63,401.6,0,100.4,301.2,Cash,Paid,Completed
101,589,1224,30,30,Bike,Dhaka,Rowland Bazar 640,Dhaka,Hart Bazar 149,2023-01-15T20:48:32,2023-01-15T20:49:02,2023-01-15T20:55:02,6,1.88,49.8,0,0,49.8,0,12.45,37.35,Card,Paid,Completed
102,767,319,51,51,Car Lite,Gazipur,Duke Highway 226,Gazipur,Pugh Lane 224,2023-06-17T00:51:48.271169,2023-06-17T00:54:47,2023-06-17T00:55:47,1,0.53,62.6,0.094,5.89,56.71,0,14.18,42.53,Cash,Paid,Completed
103,959,1105,27,27,Bike,Dhaka,Garcia Bazar 204,Dhaka,Johnson Lane 141,2023-07-23T19:12:22.441855,2023-07-23T19:17:05,2023-07-23T19:21:05,4,1.46,43.6,0,0,43.6,0,10.9,32.7,Cash,Paid,Completed
104,1010,891,35,35,Bike,Dhaka,Hernandez Bazar 724,Dhaka,Ryan Avenue 731,2023-09-25T12:14:49.512190,2023-09-25T12:21:55,2023-09-25T12:25:55,4,1.2,41,0,0,41,0,10.25,30.75,Pathao Pay,Paid,Completed
